ID,Stimulus,Estimated,Error,Response Time,,,
P1,5,5,0,2.098977804,,,
P1,5,5,0,2.409855127,,,
P1,2,3,1,3.807958126,,,
P1,4,4,0,2.20494175,,,
P1,2,2,0,1.664583921,,,
P1,5,5,0,1.952982664,,,
P1,1,1,0,1.921168089,,,
P1,5,5,0,2.323893785,,,
P1,1,1,0,2.750194073,,,
P1,3,3,0,5.785941601,,,
P1,4,4,0,2.031288624,,,
P1,2,2,0,1.777356863,,,
P1,4,4,0,2.890758514,,,
P1,5,4,1,2.450072765,,,
P1,1,1,0,2.502850294,,,
P1,4,4,0,2.15259099,,,
P1,5,5,0,3.214354515,,,
P1,2,2,0,2.309904337,,,
P1,3,2,1,6.741749763,,,
P1,2,2,0,1.884834051,,,
P1,4,4,0,1.847556829,,,
P1,3,3,0,1.645451307,,,
P1,1,1,0,1.478042126,,,
P1,5,5,0,2.044516802,,, 
P1,2,2,0,1.908425808,,,
P2,3,3,0,3.146339178,,,
P2,1,1,0,2.178908348,,,
P2,2,2,0,1.930368423,,,
P2,2,2,0,1.935213804,,,
P2,5,4,1,1.266396523,,,
P2,2,2,0,1.682870865,,,
P2,1,1,0,1.513343334,,,
P2,3,3,0,1.211733818,,,
P2,3,3,0,1.385133028,,,
P2,4,4,0,1.110798359,,,
P2,1,1,0,2.111887693,,,
P2,2,2,0,1.473293304,,,
P2,2,2,0,0.942083597,,,
P2,2,2,0,0.97611618,,,
P2,3,3,0,1.922044277,,,
P2,2,2,0,1.866951704,,,
P2,3,3,0,1.553958178,,,
P2,1,1,0,1.687516689,,,
P2,4,4,0,1.293932438,,,
P2,2,2,0,1.133585691,,,
P2,4,4,0,1.269027472,,,
P2,2,2,0,1.192116261,,,
P2,2,3,1,2.578638077,,,
P2,1,1,0,1.56799984,,,
P2,1,1,0,1.288144112,,,
P3,2,2,0,2.101205587,,,
P3,1,1,0,1.467433691,,,
P3,5,5,0,2.05224514,,,
P3,3,3,0,3.383420467,,,
P3,4,4,0,1.610696077,,,
P3,5,5,0,1.840023041,,,
P3,1,1,0,1.262815475,,,
P3,2,2,0,1.135487795,,,
P3,5,5,0,1.162125111,,,
P3,2,2,0,1.290484667,,,
P3,5,5,0,1.145649433,,,
P3,1,1,0,1.418171406,,,
P3,2,3,1,1.007098198,,,
P3,5,5,0,1.174630404,,,
P3,2,3,1,1.659975767,,,
P3,2,3,1,2.95111537,,,
P3,5,5,0,1.32399559,,,
P3,1,1,0,1.108209133,,,
P3,1,1,0,1.038165569,,,
P3,4,4,0,1.063017845,,,
P3,4,4,0,1.02577281,,,
P3,1,1,0,1.281913519,,,
P3,4,4,0,0.999349833,,,
P3,2,3,1,0.998193264,,,
P3,1,1,0,0.984879017,,,
P4,1,1,0,2.597964048,,,
P4,1,1,0,2.414992332,,,
P4,5,5,0,1.365147352,,,
P4,5,5,0,1.947924614,,,
P4,1,1,0,2.563457012,,,
P4,1,1,0,2.759378195,,,
P4,3,3,0,3.400145054,,,
P4,4,4,0,3.562510014,,,
P4,4,4,0,2.841943741,,,
P4,5,4,1,3.029894829,,,
P4,2,3,1,1.060508728,,,
P4,1,1,0,1.510215282,,,
P4,3,3,0,1.130204678,,,
P4,1,2,1,3.023221731,,,
P4,4,4,0,1.376997232,,,
P4,3,3,0,1.169515133,,,
P4,3,3,0,1.141994953,,,
P4,5,4,1,0.883360624,,,
P4,1,1,0,2.6498034,,,
P4,5,4,1,4.984123468,,,
P4,1,2,1,5.495783329,,,
P4,1,2,1,6.175355196,,,
P4,4,3,1,5.164606333,,,
P4,1,2,1,4.186046362,,,
P4,3,3,0,1.506388187,,,
P5,4,3,1,2.710726023,,,
P5,1,1,0,2.024329185,,,
P5,5,5,0,2.430687904,,,
P5,3,3,0,2.588861704,,,
P5,1,2,1,3.039009809,,,
P5,2,2,0,1.598870754,,,
P5,5,5,0,1.853882313,,,
P5,5,5,0,1.555735111,,,
P5,2,2,0,2.8216362,,,
P5,4,4,0,1.273726225,,,
P5,4,4,0,4.184551954,,,
P5,3,4,1,1.777633905,,,
P5,2,2,0,1.53917408,,,
P5,2,2,0,3.950790644,,,
P5,4,5,1,0.78318429,,,
P5,3,4,1,2.529978037,,,
P5,4,5,1,2.438896179,,,
P5,1,1,0,1.382965803,,,
P5,4,4,0,1.340150595,,,
P5,5,5,0,1.555294275,,,
P5,2,2,0,1.533857822,,,
P5,5,5,0,0.993085146,,,
P5,2,2,0,1.656035662,,,
P5,5,4,1,1.867431402,,,
P5,3,3,0,1.68448472,,,
P6,1,1,0,2.097074509,,,
P6,1,1,0,1.764210939,,,
P6,4,4,0,1.550879478,,,
P6,4,4,0,2.22976017,,,
P6,1,1,0,2.796363354,,,
P6,5,5,0,2.131977558,,,
P6,4,4,0,2.606746912,,,
P6,5,5,0,2.451261997,,,
P6,2,2,0,1.972317219,,,
P6,1,1,0,1.830810547,,,
P6,2,2,0,1.627942562,,,
P6,2,3,1,3.377449036,,,
P6,3,3,0,3.402320862,,,
P6,2,2,0,1.591556311,,,
P6,3,3,0,2.084083557,,,
P6,3,3,0,4.073285341,,,
P6,3,3,0,2.671068907,,,
P6,5,4,1,6.263075113,,,
P6,4,4,0,2.524072409,,,
P6,5,5,0,2.609646559,,,
P6,1,1,0,2.101430893,,,
P6,1,1,0,2.18729043,,,
P6,1,1,0,2.151604891,,,
P6,1,1,0,2.558009624,,,
P6,1,1,0,3.382253885,,,
P7,4,2,2,9.448762894,,,
P7,5,3,2,2.247020006,,,
P7,3,4,1,2.456471682,,,
P7,5,5,0,3.148105621,,,
P7,4,4,0,2.16231513,,,
P7,2,3,1,1.936621904,,,
P7,2,4,2,2.856077433,,,
P7,2,2,0,1.230225325,,,
P7,3,3,0,0.834586143,,,
P7,1,1,0,1.252935171,,,
P7,1,1,0,1.007872581,,,
P7,1,1,0,0.991896868,,,
P7,2,2,0,1.139318466,,,
P7,2,2,0,3.757829666,,,
P7,5,4,1,0.797342777,,,
P7,2,2,0,1.474457502,,,
P7,2,2,0,2.029453039,,,
P7,2,2,0,1.116047144,,,
P7,1,1,0,1.181838512,,,
P7,5,4,1,0.967971087,,,
P7,3,4,1,1.004776955,,,
P7,2,2,0,1.517944098,,,
P7,4,4,0,0.968354702,,,
P7,1,1,0,1.030580282,,,
P7,5,5,0,0.746455908,,,
P8,4,4,0,0.929596424,,,
P8,1,1,0,2.121592283,,,
P8,2,2,0,2.468430519,,,
P8,5,4,1,1.99943614,,,
P8,2,3,1,2.032545805,,,
P8,4,4,0,2.117341518,,,
P8,3,3,0,2.955219507,,,
P8,5,5,0,2.083037376,,,
P8,4,4,0,2.012134075,,,
P8,1,1,0,2.84363246,,,
P8,2,2,0,2.20183444,,,
P8,1,1,0,2.200582027,,,
P8,2,3,1,2.171145201,,,
P8,5,5,0,14.1092639,,,
P8,3,4,1,1.388397694,,,
P8,2,3,1,1.865577459,,,
P8,2,3,1,1.729704618,,,
P8,3,4,1,1.999963284,,,
P8,4,5,1,1.882287264,,,
P8,5,5,0,1.883336544,,,
P8,2,4,2,4.682494402,,,
P8,2,3,1,1.815887213,,,
P8,4,4,0,1.397968292,,,
P8,1,1,0,2.265406847,,,
P8,1,1,0,1.670751333,,,
